date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:25:42	20983/20983	---M-Z	200	added ('OK')	text/html	date:Wed,%2001%20Feb%202023%2007:19:15%20GMT	https://staking.shila.tech/	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/index.html	(from )
14:25:42	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Mar%202023%2008:55:41%20GMT	https://staking.shila.tech/robots.txt		(from )
14:25:43	109559/109559	---M-Z	200	added ('OK')	text/css	date:Tue,%2024%20Jan%202023%2010:17:12%20GMT	https://staking.shila.tech/css/style8e0e.css?v=8	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/css/style8e0e8e0e.css	(from https://staking.shila.tech/)
14:25:44	26053/26053	---MCZ	200	added ('OK')	text/css	etag:%2265c5-BVfTdFS2f0LyyxAeV+UHD7EZNXA%22	https://unpkg.com/aos@2.3.1/dist/aos.css	C:/My%20Web%20Sites/shila%20stake/unpkg.com/aos@2.3.1/dist/aos.css	(from https://staking.shila.tech/)
14:25:45	47308/47308	---M-Z	200	added ('OK')	text/css	date:Tue,%2024%20Jan%202023%2010:17:09%20GMT	https://staking.shila.tech/css/fontawesome.min.css	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/css/fontawesome.min.css	(from https://staking.shila.tech/)
14:25:45	235142/235142	---M-Z	200	added ('OK')	text/css	date:Tue,%2024%20Jan%202023%2010:15:47%20GMT	https://staking.shila.tech/style.css	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/style.css	(from https://staking.shila.tech/)
14:25:45	192557/192557	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Jan%202023%2010:16:02%20GMT	https://staking.shila.tech/images/logo1.png	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/images/logo1.png	(from https://staking.shila.tech/)
14:25:46	57481/57481	---M-Z	200	added ('OK')	text/css	date:Tue,%2024%20Jan%202023%2010:17:06%20GMT	https://staking.shila.tech/css/animate.css	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/css/animate.css	(from https://staking.shila.tech/)
14:25:47	174128/174128	---M-Z	200	added ('OK')	text/css	date:Wed,%2001%20Feb%202023%2007:21:36%20GMT	https://staking.shila.tech/css/bootstrap.css	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/css/bootstrap.css	(from https://staking.shila.tech/)
14:25:47	4119/4119	---M-Z	200	added ('OK')	text/css	date:Tue,%2024%20Jan%202023%2010:17:10%20GMT	https://staking.shila.tech/css/owl.carousel.min.css	C:/My%20Web%20Sites/shila%20stake/staking.shila.tech/css/owl.carousel.min.css	(from https://staking.shila.tech/)
